dsld_id,api_url,retrieved_on,api_sha256,snapshot_rows,api_rows,matched_amounts_agree,interpretation
315559,https://api.ods.od.nih.gov/dsld/v9/label/315559,2026-09-08,2222cb6c54dfa7dd6563c9e75b3d94a68722860eafd7d73e142e44d40df02ed4,1,1,True,Amount agreement only; not image or efficacy validation
31651,https://api.ods.od.nih.gov/dsld/v9/label/31651,2026-09-08,d0d98708b4007916b797aedcee9cd30ff16e1ebcd1dabd559771329f9a4617b8,1,1,True,Amount agreement only; not image or efficacy validation
317721,https://api.ods.od.nih.gov/dsld/v9/label/317721,2026-09-08,7617c5a1be0171ecbb40535a7e5d8cdbb47a53bbf68e858cb754cb15ea84342b,1,1,True,Amount agreement only; not image or efficacy validation
319530,https://api.ods.od.nih.gov/dsld/v9/label/319530,2026-09-08,c214e20cd8da293984a8a66200496c1a7827bd4608655ea1023caf1f2a3d44c5,1,1,True,Amount agreement only; not image or efficacy validation
326503,https://api.ods.od.nih.gov/dsld/v9/label/326503,2026-09-08,0c9de93ece55ac0e53483091fd903654ea70e4da7eba38610cd3ee1218c59953,1,1,True,Amount agreement only; not image or efficacy validation
326504,https://api.ods.od.nih.gov/dsld/v9/label/326504,2026-09-08,48b2ab4a9ee7ee59fbc29ff92e2155ef07a14adb8949d9de539460a1be3d1d5c,1,1,True,Amount agreement only; not image or efficacy validation
328409,https://api.ods.od.nih.gov/dsld/v9/label/328409,2026-09-08,98fb65aba68a7f487330ce35b1dc0ca82009588d05e39c879fd0e8d3bf2888b4,1,1,True,Amount agreement only; not image or efficacy validation
328853,https://api.ods.od.nih.gov/dsld/v9/label/328853,2026-09-08,c35f2cb1e943b4a6fc24ed3fad18c74fbb087ebadf573afe85535a0d1a927556,1,1,True,Amount agreement only; not image or efficacy validation
333418,https://api.ods.od.nih.gov/dsld/v9/label/333418,2026-09-08,1941928a555cac6a16a3ad25f8f2243640712a43a4065e95a9d32fb4fc33f9e7,1,1,True,Amount agreement only; not image or efficacy validation
337727,https://api.ods.od.nih.gov/dsld/v9/label/337727,2026-09-08,d5a55cf8372c188836b03c7e53db1eced1e3f517da64ea8b30960a1161e18ca2,2,2,True,Amount agreement only; not image or efficacy validation
35999,https://api.ods.od.nih.gov/dsld/v9/label/35999,2026-09-08,be0a499165c58deb382b0a0839ad9f2af53064e402000deba25c0a2941a45b45,1,1,True,Amount agreement only; not image or efficacy validation
551,https://api.ods.od.nih.gov/dsld/v9/label/551,2026-09-08,4d217a77fdbefe1783901e1f17c47ab239ba81e4f038755f90ef9f07338cfa3e,1,1,True,Amount agreement only; not image or efficacy validation
56107,https://api.ods.od.nih.gov/dsld/v9/label/56107,2026-09-08,71779c1457ede6299d31b3f6b637b49c092609808ea37cb4f13189204aae22ff,1,1,True,Amount agreement only; not image or efficacy validation
57461,https://api.ods.od.nih.gov/dsld/v9/label/57461,2026-09-08,91b7e841b5047eb7492ff4abc82736c81910e3c5af64e086acc1e5a0c369bcd8,1,1,True,Amount agreement only; not image or efficacy validation
57463,https://api.ods.od.nih.gov/dsld/v9/label/57463,2026-09-08,bbb3052474e731bb494b6b7de9d2b3355f0fdebbca66fbe61378c1aa960ee4ab,1,1,True,Amount agreement only; not image or efficacy validation
57466,https://api.ods.od.nih.gov/dsld/v9/label/57466,2026-09-08,40a28a96256a6cb1613b390578642601dbb7a240c5749af6383e66c5d319c734,1,1,True,Amount agreement only; not image or efficacy validation
58289,https://api.ods.od.nih.gov/dsld/v9/label/58289,2026-09-08,383ecadb8f1f0ed2a890773f8aab4ea2cfa6024fb94427fdab2826223a9f97f0,1,1,True,Amount agreement only; not image or efficacy validation
64218,https://api.ods.od.nih.gov/dsld/v9/label/64218,2026-09-08,c15400ffab7b08b9ecd200a6dae5af2dc64ffa0c5002627d58f1c6dcd3bb9453,1,1,True,Amount agreement only; not image or efficacy validation
64229,https://api.ods.od.nih.gov/dsld/v9/label/64229,2026-09-08,a0258ede9ea8d2c44f9d726d17c317e49ca1c25efec94c046ea5f33a833513b8,1,1,True,Amount agreement only; not image or efficacy validation
64731,https://api.ods.od.nih.gov/dsld/v9/label/64731,2026-09-08,c9c3b376c6cd9ecdb7150553dd95cdd6e96a6ff54f35aa665a056141609aef4c,1,1,True,Amount agreement only; not image or efficacy validation
71585,https://api.ods.od.nih.gov/dsld/v9/label/71585,2026-09-08,a7f7959d32a10ac6d96d64e2a7f8d23bdb403ad37deac6b0de4e5b0b97e58674,1,1,True,Amount agreement only; not image or efficacy validation
