dsld_id,label_url,product_name,max_grams,selected_source_rowid,unresolved_rows,suggested_use,review_status,dosage_form,serving_basis,daily_min_g,daily_max_g,reviewer,reviewed_on,notes
328853,https://dsld.od.nih.gov/label/328853,Creatine Monohydrate,2.25,1958070,0,Directions: As a dietary supplement; take three (3) capsules twice (2) daily with meals and plenty of water. On training days; take one (1) daily serving thirty (30) minutes prior to training and take the second serving thirty (30) minutes post-training with carbohydrates.,pending,,,,,,,
333418,https://dsld.od.nih.gov/label/333418,Liposomal Creatine,2.5,1985337,0,Suggested use: Adults take 3 capsules twice a day; or as recommended by your healthcare practitioner; with 8 ounces of water or your favorite beverage. May be taken with or without food.,pending,,,,,,,
337727,https://dsld.od.nih.gov/label/337727,100% Pure Creatine Monohydrate Capsules,0.0064,2014105,0,Recommended dosage: Take 4 capsules with plenty of liquid (300 ml); preferably before and after an intensive workout. On non-training days take 4 capsules with plenty of liquid (300 ml) first thing in the morning and again before bed time. Advice: To achieve a positive effect 3 g of creatine should be consumed per day. Once opened; use up quickly.,pending,,,,,,,
35999,https://dsld.od.nih.gov/label/35999,Ribose Energy With Creatine,2.5,345681,0,SUGGESTED USAGE: As a dietary supplement; mix 2 1/2 level teaspoons in juice or water 2 to 3 times daily; preferably before and after exercise. Do not exceed recommended dodage. Consider taking these other NOW(R) products:  Pyruvate and Carbo Gain.,pending,,,,,,,
56107,https://dsld.od.nih.gov/label/56107,Creatine Monohydrate,0.75,548386,0,Suggested Usage: As a dietary supplement; adults take 1/4 teaspoon daily or as directed by your healthcare professional.,pending,,,,,,,
57461,https://dsld.od.nih.gov/label/57461,Creatine 2500 Caps,2.5,560717,0,SUGGESTED USE: Take 2 capsules with morning; afternoon; and evening meals. Intended for use in healthy adults and as a part of a healthy; balanced diet and exercise program.,pending,,,,,,,
57463,https://dsld.od.nih.gov/label/57463,Creatine 2500 Caps,2.5,560722,0,SUGGESTED USE: Take 2 capsules with morning; afternoon; and evening meals. Intended for use in healthy adults and as part of a healthy; balanced diet and exercise program. TIPS: Consuming carbohydrates helps with muscle retention of creatine.,pending,,,,,,,
57466,https://dsld.od.nih.gov/label/57466,Creatine 2500 Caps,2.5,560760,0,SUGGESTED USE: Take 2 capsules with morning; afternoon; and evening meals. Intended for use in healthy adults and as part of a healthy; balanced diet and exercise program. TIPS: Consuming carbohydrates helps with muscle retention of creatine.,pending,,,,,,,
58289,https://dsld.od.nih.gov/label/58289,Clean Creatine Fruit Punch,2.5,568191,0,,pending,,,,,,,
64218,https://dsld.od.nih.gov/label/64218,Creatine Capsules,1.5,616950,0,Dosage: As a dietary supplement during normal training schedules; take 2-3 capsules twice daily. When preparing for competition or under intense training schedules; take 2-3 capsules three times daily. For best results take capsules with meals.,pending,,,,,,,
64229,https://dsld.od.nih.gov/label/64229,Creatine Capsules,1.5,617057,0,Dosage: As a dietary supplement during normal training schedules; take 2-3 capsules twice daily. When preparing for competition or under intense training schedules; take 2-3 capsules three times daily. For best results take capsules with meals.,pending,,,,,,,
64731,https://dsld.od.nih.gov/label/64731,100% Pure Creatine Monohydrate,2.25,624346,0,Directions: Loading Phase: Take seven (7) capsules four (4) times daily with 8-12 oz water. Maintenance Phase: Days 6 and beyond: Take three (3) to five (5) capsules daily with 8-12 oz of water.,pending,,,,,,,
71585,https://dsld.od.nih.gov/label/71585,Creatine Monohydrate 2800 mg,2.8,701197,0,Suggested Use: As a dietary supplement; take one serving (4 capsules) 15-30 minutes before exercise. Taken up to twice daily; once as a pre-workout and/or again as a post-workout. For best results; follow a diet and exercise program to maximize your potential. Drinking an additional 16 to 32 ounces of water when using creatine is recommended. Morning Pre During Post Night,pending,,,,,,,
